pickup date,pickup time,dropoff date,dropoff time,CATEGORY,PURPOSE,Pickup Location,Dropoff Location,trip duration (min),trip_distance (km)
2016-01-01 00:00:00,1899-12-30 21:11:00,2016-01-01 00:00:00,1899-12-30 21:17:00,Business,Meal/Entertain,Fort Pierce,Fort Pierce,6,8.207633999999999
2016-01-02 00:00:00,1899-12-30 01:25:00,2016-01-02 00:00:00,1899-12-30 01:37:00,Business,Meal/Entertain,Fort Pierce,Fort Pierce,12,8.0467
2016-01-02 00:00:00,1899-12-30 20:25:00,2016-01-02 00:00:00,1899-12-30 20:38:00,Business,Errand/Supplies,Fort Pierce,Fort Pierce,13,7.724831999999999
2016-01-05 00:00:00,1899-12-30 17:31:00,2016-01-05 00:00:00,1899-12-30 17:45:00,Business,Meeting,Fort Pierce,Fort Pierce,14,7.563898
2016-01-06 00:00:00,1899-12-30 14:42:00,2016-01-06 00:00:00,1899-12-30 15:49:00,Business,Customer Visit,Fort Pierce,West Palm Beach,67,102.51495800000001
2016-01-06 00:00:00,1899-12-30 17:15:00,2016-01-06 00:00:00,1899-12-30 17:19:00,Business,Meal/Entertain,West Palm Beach,West Palm Beach,4,6.9201619999999995
2016-01-06 00:00:00,1899-12-30 17:30:00,2016-01-06 00:00:00,1899-12-30 17:35:00,Business,Meeting,West Palm Beach,Palm Beach,5,11.426314
2016-01-07 00:00:00,1899-12-30 13:27:00,2016-01-07 00:00:00,1899-12-30 13:33:00,Business,Meeting,Cary,Cary,6,1.2874720000000002
2016-01-10 00:00:00,1899-12-30 08:05:00,2016-01-10 00:00:00,1899-12-30 08:25:00,Business,Meeting,Cary,Morrisville,20,13.357522000000001
2016-01-10 00:00:00,1899-12-30 12:17:00,2016-01-10 00:00:00,1899-12-30 12:44:00,Business,Customer Visit,Jamaica,New York,27,26.55411
2016-01-10 00:00:00,1899-12-30 15:08:00,2016-01-10 00:00:00,1899-12-30 15:51:00,Business,Meeting,New York,Queens,43,17.380872
2016-01-10 00:00:00,1899-12-30 18:18:00,2016-01-10 00:00:00,1899-12-30 18:53:00,Business,Meeting,Elmhurst,New York,35,12.07005
2016-01-10 00:00:00,1899-12-30 19:12:00,2016-01-10 00:00:00,1899-12-30 19:32:00,Business,Meeting,Midtown,East Harlem,20,9.977908000000001
2016-01-11 00:00:00,1899-12-30 08:55:00,2016-01-11 00:00:00,1899-12-30 09:21:00,Business,Temporary Site,East Harlem,NoMad,26,10.299776000000001
2016-01-11 00:00:00,1899-12-30 11:56:00,2016-01-11 00:00:00,1899-12-30 12:03:00,Business,Errand/Supplies,Flatiron District,Midtown,7,2.5749440000000003
2016-01-11 00:00:00,1899-12-30 13:32:00,2016-01-11 00:00:00,1899-12-30 13:46:00,Business,Meal/Entertain,Midtown,Midtown East,14,2.735878
2016-01-11 00:00:00,1899-12-30 14:30:00,2016-01-11 00:00:00,1899-12-30 14:43:00,Business,Meal/Entertain,Midtown East,Midtown,13,3.057746
2016-01-12 00:00:00,1899-12-30 12:33:00,2016-01-12 00:00:00,1899-12-30 12:49:00,Business,Meal/Entertain,Midtown,Hudson Square,16,3.057746
2016-01-12 00:00:00,1899-12-30 12:53:00,2016-01-12 00:00:00,1899-12-30 13:09:00,Business,Meal/Entertain,Hudson Square,Lower Manhattan,16,6.43736
2016-01-12 00:00:00,1899-12-30 14:42:00,2016-01-12 00:00:00,1899-12-30 14:56:00,Business,Errand/Supplies,Lower Manhattan,Hudson Square,14,2.896812
2016-01-12 00:00:00,1899-12-30 15:13:00,2016-01-12 00:00:00,1899-12-30 15:28:00,Business,Customer Visit,Hudson Square,Hell's Kitchen,15,3.8624159999999996
2016-01-12 00:00:00,1899-12-30 15:42:00,2016-01-12 00:00:00,1899-12-30 15:54:00,Business,Errand/Supplies,Hell's Kitchen,Midtown,12,3.21868
2016-01-12 00:00:00,1899-12-30 16:02:00,2016-01-12 00:00:00,1899-12-30 17:00:00,Business,Meeting,New York,Queens County,58,24.301033999999998
2016-01-13 00:00:00,1899-12-30 13:54:00,2016-01-13 00:00:00,1899-12-30 14:07:00,Business,Meeting,Downtown,Gulfton,13,18.024607999999997
2016-01-13 00:00:00,1899-12-30 15:00:00,2016-01-13 00:00:00,1899-12-30 15:28:00,Business,Meeting,Gulfton,Downtown,28,18.990212
2016-01-14 00:00:00,1899-12-30 16:29:00,2016-01-14 00:00:00,1899-12-30 17:05:00,Business,Customer Visit,Houston,Houston,36,35.244546
2016-01-14 00:00:00,1899-12-30 21:39:00,2016-01-14 00:00:00,1899-12-30 21:45:00,Business,Errand/Supplies,Eagan Park,Jamestown Court,6,6.276426
2016-01-15 00:00:00,1899-12-30 00:41:00,2016-01-15 00:00:00,1899-12-30 01:01:00,Business,Errand/Supplies,Morrisville,Cary,20,12.87472
2016-01-15 00:00:00,1899-12-30 11:43:00,2016-01-15 00:00:00,1899-12-30 12:03:00,Business,Meal/Entertain,Cary,Durham,20,16.737136
2016-01-15 00:00:00,1899-12-30 13:26:00,2016-01-15 00:00:00,1899-12-30 13:44:00,Business,Meal/Entertain,Durham,Cary,18,16.737136
2016-01-18 00:00:00,1899-12-30 14:55:00,2016-01-18 00:00:00,1899-12-30 15:06:00,Business,Meal/Entertain,Cary,Cary,11,7.724831999999999
2016-01-18 00:00:00,1899-12-30 16:13:00,2016-01-18 00:00:00,1899-12-30 16:24:00,Business,Meal/Entertain,Farmington Woods,Whitebridge,11,7.563898
2016-01-19 00:00:00,1899-12-30 09:09:00,2016-01-19 00:00:00,1899-12-30 09:23:00,Business,Meal/Entertain,Whitebridge,Lake Wellingborough,14,11.587248
2016-01-19 00:00:00,1899-12-30 10:55:00,2016-01-19 00:00:00,1899-12-30 11:09:00,Business,Temporary Site,Lake Wellingborough,Whitebridge,14,12.230984
2016-01-20 00:00:00,1899-12-30 10:36:00,2016-01-20 00:00:00,1899-12-30 11:11:00,Business,Meeting,Cary,Raleigh,35,27.519714
2016-01-20 00:00:00,1899-12-30 11:48:00,2016-01-20 00:00:00,1899-12-30 12:19:00,Business,Meeting,Fayetteville Street,Umstead,31,24.301033999999998
2016-01-20 00:00:00,1899-12-30 13:25:00,2016-01-20 00:00:00,1899-12-30 14:19:00,Business,Customer Visit,Raleigh,Cary,54,64.695468
2016-01-21 00:00:00,1899-12-30 14:25:00,2016-01-21 00:00:00,1899-12-30 14:29:00,Business,Errand/Supplies,Cary,Cary,4,2.5749440000000003
2016-01-21 00:00:00,1899-12-30 14:43:00,2016-01-21 00:00:00,1899-12-30 14:51:00,Business,Meal/Entertain,Cary,Cary,8,3.8624159999999996
2016-01-21 00:00:00,1899-12-30 16:01:00,2016-01-21 00:00:00,1899-12-30 16:06:00,Business,Meal/Entertain,Cary,Cary,5,1.60934
2016-01-26 00:00:00,1899-12-30 10:41:00,2016-01-26 00:00:00,1899-12-30 10:50:00,Business,Meal/Entertain,Whitebridge,Hazelwood,9,3.21868
2016-01-26 00:00:00,1899-12-30 12:33:00,2016-01-26 00:00:00,1899-12-30 12:41:00,Business,Errand/Supplies,Hazelwood,Whitebridge,8,3.7014819999999995
2016-01-26 00:00:00,1899-12-30 16:24:00,2016-01-26 00:00:00,1899-12-30 16:32:00,Business,Errand/Supplies,Whitebridge,Westpark Place,8,3.057746
2016-01-26 00:00:00,1899-12-30 17:17:00,2016-01-26 00:00:00,1899-12-30 17:22:00,Business,Errand/Supplies,Cary,Cary,5,2.2530759999999996
2016-01-26 00:00:00,1899-12-30 17:27:00,2016-01-26 00:00:00,1899-12-30 17:29:00,Business,Errand/Supplies,Cary,Cary,2,0.80467
2016-01-27 00:00:00,1899-12-30 09:24:00,2016-01-27 00:00:00,1899-12-30 09:31:00,Business,Meeting,Cary,Cary,7,2.896812
2016-01-27 00:00:00,1899-12-30 10:19:00,2016-01-27 00:00:00,1899-12-30 10:48:00,Business,Customer Visit,Cary,Raleigh,29,30.094658
2016-01-27 00:00:00,1899-12-30 12:34:00,2016-01-27 00:00:00,1899-12-30 12:44:00,Business,Customer Visit,Fairmont,Meredith Townes,10,5.471756
2016-01-27 00:00:00,1899-12-30 14:05:00,2016-01-27 00:00:00,1899-12-30 14:13:00,Business,Customer Visit,Raleigh,Raleigh,8,4.345218
2016-01-27 00:00:00,1899-12-30 14:46:00,2016-01-27 00:00:00,1899-12-30 15:08:00,Business,Customer Visit,Raleigh,Cary,22,20.760486
2016-01-28 00:00:00,1899-12-30 12:28:00,2016-01-28 00:00:00,1899-12-30 13:00:00,Business,Temporary Site,Cary,Raleigh,32,30.57746
2016-01-28 00:00:00,1899-12-30 15:11:00,2016-01-28 00:00:00,1899-12-30 15:31:00,Business,Meeting,Meredith Townes,Leesville Hollow,20,23.657297999999997
2016-01-28 00:00:00,1899-12-30 16:21:00,2016-01-28 00:00:00,1899-12-30 16:51:00,Business,Meeting,Raleigh,Cary,30,25.266638
2016-01-29 00:00:00,1899-12-30 09:31:00,2016-01-29 00:00:00,1899-12-30 09:45:00,Business,Customer Visit,Cary,Cary,14,7.402963999999999
2016-01-29 00:00:00,1899-12-30 10:56:00,2016-01-29 00:00:00,1899-12-30 11:07:00,Business,Meeting,Cary,Cary,11,8.368568
2016-01-29 00:00:00,1899-12-30 11:43:00,2016-01-29 00:00:00,1899-12-30 12:03:00,Business,Meeting,Cary,Durham,20,16.737136
2016-01-29 00:00:00,1899-12-30 13:24:00,2016-01-29 00:00:00,1899-12-30 13:47:00,Business,Meeting,Durham,Cary,23,16.254334
2016-01-29 00:00:00,1899-12-30 18:31:00,2016-01-29 00:00:00,1899-12-30 18:52:00,Business,Errand/Supplies,Cary,Apex,21,9.334171999999999
2016-01-29 00:00:00,1899-12-30 21:21:00,2016-01-29 00:00:00,1899-12-30 21:40:00,Business,Meal/Entertain,Apex,Cary,19,8.85137
2016-01-30 00:00:00,1899-12-30 16:21:00,2016-01-30 00:00:00,1899-12-30 16:33:00,Business,Errand/Supplies,Cary,Apex,12,9.173238
2016-01-30 00:00:00,1899-12-30 18:09:00,2016-01-30 00:00:00,1899-12-30 18:24:00,Business,Customer Visit,Apex,Cary,15,9.173238
2016-02-01 00:00:00,1899-12-30 10:35:00,2016-02-01 00:00:00,1899-12-30 11:15:00,Business,Customer Visit,Cary,Chapel Hill,40,31.221196
2016-02-01 00:00:00,1899-12-30 12:10:00,2016-02-01 00:00:00,1899-12-30 12:43:00,Business,Customer Visit,Chapel Hill,Cary,33,37.497622
2016-02-01 00:00:00,1899-12-30 12:56:00,2016-02-01 00:00:00,1899-12-30 13:07:00,Business,Meal/Entertain,Northwoods,Whitebridge,11,6.276426
2016-02-02 00:00:00,1899-12-30 13:04:00,2016-02-02 00:00:00,1899-12-30 13:23:00,Business,Meeting,Whitebridge,Williamsburg Manor,19,13.357522000000001
2016-02-02 00:00:00,1899-12-30 13:51:00,2016-02-02 00:00:00,1899-12-30 14:06:00,Business,Errand/Supplies,Cary,Cary,15,9.65604
2016-02-02 00:00:00,1899-12-30 14:38:00,2016-02-02 00:00:00,1899-12-30 14:42:00,Business,Errand/Supplies,Cary,Cary,4,2.5749440000000003
2016-02-04 00:00:00,1899-12-30 08:40:00,2016-02-04 00:00:00,1899-12-30 09:01:00,Business,Errand/Supplies,Cary,Morrisville,21,8.368568
2016-02-04 00:00:00,1899-12-30 09:37:00,2016-02-04 00:00:00,1899-12-30 10:09:00,Business,Meal/Entertain,Morrisville,Cary,32,15.610598
2016-02-04 00:00:00,1899-12-30 10:26:00,2016-02-04 00:00:00,1899-12-30 10:32:00,Business,Meal/Entertain,Cary,Cary,6,2.5749440000000003
2016-02-04 00:00:00,1899-12-30 15:59:00,2016-02-04 00:00:00,1899-12-30 16:03:00,Business,Meal/Entertain,Cary,Cary,4,1.7702740000000001
2016-02-04 00:00:00,1899-12-30 16:35:00,2016-02-04 00:00:00,1899-12-30 16:39:00,Business,Meal/Entertain,Cary,Cary,4,2.5749440000000003
2016-02-04 00:00:00,1899-12-30 18:04:00,2016-02-04 00:00:00,1899-12-30 18:31:00,Business,Meeting,Whitebridge,Macgregor Downs,27,14.48406
2016-02-04 00:00:00,1899-12-30 20:36:00,2016-02-04 00:00:00,1899-12-30 20:55:00,Business,Meeting,Cary,Cary,19,12.391918
2016-02-05 00:00:00,1899-12-30 11:47:00,2016-02-05 00:00:00,1899-12-30 12:07:00,Business,Meeting,Cary,Durham,20,16.737136
